Date,Price,Open,High,Low,Change %
01-11-2018,2.993,3.155,3.25,2.988,-4.95%
01-10-2018,3.149,3.067,3.261,3.046,2.75%
01-09-2018,3.065,2.86,3.113,2.855,7.15%
01-08-2018,2.86,2.958,3.016,2.808,-3.42%
01-07-2018,2.962,2.858,2.99,2.807,3.55%
01-06-2018,2.86,2.862,3.01,2.822,0.00%
01-05-2018,2.86,2.959,3.128,2.759,-3.20%
01-04-2018,2.955,2.759,3.035,2.717,7.82%
01-03-2018,2.741,2.866,2.936,2.739,-4.31%
01-02-2018,2.864,2.724,2.957,2.648,5.59%
01-01-2018,2.713,2.429,2.754,2.416,12.77%
01-12-2017,2.405,2.411,2.504,2.314,-0.40%
01-11-2017,2.415,2.379,2.437,2.304,1.58%
01-10-2017,2.378,2.344,2.477,2.273,1.65%
01-09-2017,2.339,2.127,2.359,2.016,10.30%
01-08-2017,2.121,2.303,2.321,2.086,-7.64%
01-07-2017,2.296,2.314,2.398,2.225,-0.33%
01-06-2017,2.304,2.213,2.309,2.103,4.41%
01-05-2017,2.206,2.282,2.423,2.181,-3.62%
01-04-2017,2.289,2.396,2.405,2.165,-4.19%
01-03-2017,2.389,2.415,2.629,2.348,-0.33%
01-02-2017,2.397,2.461,2.524,2.31,-2.79%
01-01-2017,2.466,2.439,2.555,2.305,0.81%
01-12-2016,2.446,2.397,2.641,2.34,2.35%
01-11-2016,2.39,1.838,2.417,1.716,30.92%
01-10-2016,1.826,1.6,1.879,1.593,14.24%
01-09-2016,1.598,1.58,1.752,1.519,1.24%
01-08-2016,1.578,1.463,1.635,1.463,8.87%
01-07-2016,1.45,1.471,1.628,1.321,-1.70%
01-06-2016,1.475,1.844,1.856,1.406,-20.33%
01-05-2016,1.851,1.83,1.89,1.7,0.88%
01-04-2016,1.835,1.784,1.941,1.685,3.65%
01-03-2016,1.77,1.737,2.002,1.702,1.85%
01-02-2016,1.738,1.933,1.966,1.53,-9.59%
01-01-2016,1.923,2.293,2.293,1.911,-15.28%
01-12-2015,2.269,2.217,2.358,2.12,2.79%
01-11-2015,2.208,2.137,2.377,2.13,2.89%
01-10-2015,2.146,2.042,2.183,1.904,5.44%
01-09-2015,2.035,2.214,2.303,2.035,-8.10%
01-08-2015,2.214,2.2,2.293,1.905,1.24%
01-07-2015,2.187,2.373,2.47,2.176,-6.91%
01-06-2015,2.349,2.128,2.5,2.106,10.66%
01-05-2015,2.123,2.049,2.366,2.046,4.32%
01-04-2015,2.035,1.93,2.11,1.802,5.64%
01-03-2015,1.927,2.005,2.259,1.852,-3.50%
01-02-2015,1.997,1.653,2.164,1.649,21.81%
01-01-2015,1.639,2.2,2.213,1.637,-24.48%
01-12-2014,2.17,2.178,2.347,2.009,-0.12%
01-11-2014,2.173,2.309,2.407,2.166,-6.96%
01-10-2014,2.335,2.5,2.508,1.865,-6.40%
01-09-2014,2.495,2.357,2.655,2.354,6.41%
01-08-2014,2.345,2.562,2.591,2.303,-8.46%
01-07-2014,2.562,2.53,2.692,2.441,1.16%
01-06-2014,2.532,2.484,2.662,2.475,2.31%
01-05-2014,2.475,2.659,2.7,2.402,-6.46%
01-04-2014,2.646,2.726,2.81,2.596,-2.69%
01-03-2014,2.719,2.61,2.821,2.592,2.63%
01-02-2014,2.649,2.666,2.786,2.57,0.20%
01-01-2014,2.644,3.038,3.041,2.646,-12.63%
01-12-2013,3.026,2.753,3.036,2.752,10.20%
01-11-2013,2.746,2.56,2.839,2.554,7.60%
01-10-2013,2.552,2.614,2.759,2.471,-2.41%
01-09-2013,2.615,2.837,3.007,2.59,-6.24%
01-08-2013,2.789,2.584,2.936,2.552,7.80%
01-07-2013,2.588,2.495,2.755,2.415,4.02%
01-06-2013,2.487,2.157,2.667,1.999,16.69%
01-05-2013,2.132,1.668,2.235,1.614,27.39%
01-04-2013,1.673,1.875,1.888,1.638,-9.65%
01-03-2013,1.852,1.877,2.087,1.827,-1.53%
01-02-2013,1.881,1.99,2.064,1.836,-5.24%
01-01-2013,1.985,1.757,2.037,1.757,13.00%
01-12-2012,1.757,1.618,1.847,1.564,8.67%
01-11-2012,1.616,1.702,1.781,1.556,-4.61%
01-10-2012,1.694,1.623,1.856,1.599,3.73%
01-09-2012,1.633,1.552,1.894,1.542,5.50%
01-08-2012,1.548,1.468,1.863,1.446,5.36%
01-07-2012,1.47,1.652,1.66,1.381,-10.56%
01-06-2012,1.643,1.57,1.728,1.442,5.14%
01-05-2012,1.563,1.919,1.966,1.533,-18.56%
01-04-2012,1.919,2.237,2.308,1.884,-13.33%
01-03-2012,2.214,1.983,2.399,1.931,12.17%
01-02-2012,1.974,1.797,2.08,1.797,9.95%
01-01-2012,1.795,1.876,2.094,1.792,-4.31%
01-12-2011,1.876,2.079,2.167,1.798,-9.43%
01-11-2011,2.072,2.135,2.153,1.872,-2.10%
01-10-2011,2.116,1.919,2.42,1.717,10.37%
01-09-2011,1.917,2.222,2.278,1.674,-14.18%
01-08-2011,2.234,2.82,2.858,1.976,-20.00%
01-07-2011,2.793,3.162,3.223,2.773,-11.63%
01-06-2011,3.16,3.07,3.221,2.842,3.31%
01-05-2011,3.059,3.297,3.323,3.041,-7.02%
01-04-2011,3.29,3.476,3.619,3.283,-5.19%
01-03-2011,3.47,3.44,3.598,3.143,1.40%
01-02-2011,3.422,3.372,3.77,3.372,1.42%
01-01-2011,3.374,3.305,3.497,3.253,2.62%
01-12-2010,3.288,2.809,3.568,2.797,17.55%
01-11-2010,2.797,2.621,2.967,2.458,7.45%
01-10-2010,2.603,2.515,2.731,2.334,3.62%
01-09-2010,2.512,2.482,2.849,2.449,1.70%
01-08-2010,2.47,2.925,2.972,2.419,-14.97%
01-07-2010,2.905,2.942,3.132,2.855,-1.02%
01-06-2010,2.935,3.3,3.427,2.928,-11.14%
01-05-2010,3.303,3.663,3.713,3.064,-9.73%
01-04-2010,3.659,3.839,4.013,3.655,-4.54%
01-03-2010,3.833,3.625,3.928,3.593,5.91%
01-02-2010,3.619,3.606,3.828,3.537,0.86%
01-01-2010,3.588,3.858,3.904,3.563,-6.49%
01-12-2009,3.837,3.207,3.918,3.196,19.98%
01-11-2009,3.198,3.396,3.563,3.154,-5.61%
01-10-2009,3.388,3.318,3.581,3.106,2.51%
01-09-2009,3.305,3.403,3.534,3.272,-2.82%
01-08-2009,3.401,3.512,3.893,3.374,-2.33%
01-07-2009,3.482,3.527,3.766,3.261,-1.55%
01-06-2009,3.537,3.492,4.008,3.454,2.20%
01-05-2009,3.461,3.115,3.754,3.072,10.97%
01-04-2009,3.119,2.668,3.166,2.65,16.90%
01-03-2009,2.668,3.02,3.045,2.462,-11.68%
01-02-2009,3.021,2.851,3.058,2.619,5.96%
01-01-2009,2.851,2.25,2.894,2.148,28.42%
01-12-2008,2.22,2.96,2.962,2.04,-23.97%
01-11-2008,2.92,3.959,3.984,2.908,-26.45%
01-10-2008,3.97,3.748,4.11,3.402,3.68%
01-09-2008,3.829,3.827,3.909,3.251,0.10%
01-08-2008,3.825,3.958,4.094,3.763,-3.36%
